Code,Region,Low_SES_Percent,Internet_NoAccess,Housing_Unsuitable,Unemployment_Rate,Education_Level_Low,English_Proficiency_Low,Aboriginal_Percent,Senior_65Plus_Percent,Elderly_70_PermInstitution,Year
PHA010306,Tweed Heads,0.0,22.2504445,3.476202342387241,8.49,14.7,11.4738806,4.690949227373068,28.29560921510309,6.3378658677114545,2017-2018
PHA010307,Tweed Heads - South,0.0,21.04620586,2.9929091076526384,6.97,13.7,11.50971599,5.5933429811866855,29.313469624474408,6.772655007949126,2017-2018
PHA010308,Griffith (NSW),0.0,25.59067688,6.539297918608264,5.44,13.8,22.83568905,6.164696331625146,16.32064006481669,9.26887734718338,2017-2018
PHA010309,Griffith Region,0.0,23.53770261,3.3862183282026996,4.1,11.2,14.13333333,8.115282518012894,13.854056504003626,2.490272373540856,2017-2018
PHA010310,Leeton/ Narrandera,0.0,26.0060812,2.5775907417148867,5.54,11.6,14.89583333,8.294314381270903,19.207428085932758,8.669001751313484,2017-2018
PHA010311,Tumbarumba/ Tumut Region,0.0,27.12034864,2.5769745649263722,4.9,11.6,16.92789969,4.67652047492125,21.49487643158529,0.0,2017-2018
PHA010312,Tumut,0.0,27.47111682,2.6405451448040886,6.77,11.7,6.25,6.172839506172839,21.02957283680175,11.808510638297873,2017-2018
PHA010313,Cootamundra/ Gundagai/ Junee/ Temora,0.0,27.09684893,2.3885714285714283,5.48,10.9,22.84768212,5.7580085696796575,21.92293607844733,5.123053741838272,2017-2018
PHA010314,Wagga Wagga - East/ Wagga Wagga - North,79.01758064,14.28966662,2.1718474277182027,5.01,23.5,12.50849762,4.488072031931681,15.498652291105122,2.3265306122448983,2017-2018
PHA010315,Wagga Wagga - South,0.0,18.87862797,2.8876733240045795,6.03,19.2,18.75808538,7.987470634299139,13.699757647811971,9.20869967607589,2017-2018
PHA010316,Wagga Wagga - West,0.0,23.99741268,3.4941050375133975,7.36,22.3,15.29774127,9.445994420087684,16.432036904477847,10.182767624020887,2017-2018
PHA010317,Wagga Wagga Region,100.0,19.30113052,2.317613865376864,4.43,15.3,12.13017751,4.306855133054616,16.38975309459191,4.288939051918736,2017-2018
PHA010318,Berry - Kangaroo Valley,0.610721556,17.71461384,1.6676250718803909,3.4,25.0,10.03460208,2.4731063546634133,32.27530905446041,5.608322026232474,2017-2018
PHA010319,Callala Bay - Currarong/ Culburra Beach,0.0,22.72456871,2.4795799299883314,7.61,13.5,10.27777778,6.637067395264117,29.070700126045608,3.608247422680412,2017-2018
PHA010320,Huskisson/ Tomerong area,0.0,16.0556687,2.925353059852051,4.54,21.9,11.83035714,3.922829581993569,23.688619667482925,0.0,2017-2018
PHA010321,North Nowra - Bomaderry,0.0,17.24913495,2.3096234309623433,5.92,17.4,11.816839,6.894206393371668,20.869941838881324,6.36215334420881,2017-2018
PHA010322,Nowra,0.0,21.56310248,3.6686891491463243,8.63,10.6,14.76923077,11.990105252946599,17.048717574341754,11.704634721131187,2017-2018
PHA010323,St Georges Basin - Erowal Bay area,0.0,23.01587302,3.362592842673869,8.83,9.0,12.02113606,7.10765934654526,30.559286520174073,6.780055917986952,2017-2018
